756059 8:59:10 1 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 9622 0 0.00 0.00 9 1 1 1 0 0.86 1.00 1.00 1.00 0.86 1.00 1.00 1.00 10704 0 0.00 0.00 9 1 1 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 6018 0 0.00 0.00 9 1 
756059 8:59:10 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 7863 0.98 0.02 0 1 0 1 0 0.88 1.00 1.00 1.00 0.86 1.00 1.00 1.00 0 7863 0.98 0.02 0 1 0 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 0 7863 0.98 0.02 0 1 
840905 8:33:16 1 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 6614 0 0.00 0.00 9 1 1 1 0 0.88 1.00 1.00 1.00 0.88 1.00 1.00 1.00 9141 0 0.00 0.00 9 1 1 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 6253 0 0.00 0.00 9 1 
840905 8:33:16 0 1 1 0.87 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 9337 0.88 0.12 1 1 0 1 0 1.00 1.00 1.00 1.00 0.88 1.00 1.00 1.00 0 9337 0.88 0.12 1 1 0 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 0 9337 0.88 0.12 1 1 
927975 8:44:26 1 1 0 0.87 1.00 1.00 1.00 0.87 1.00 1.00 1.00 9858 0 0.00 0.00 9 1 1 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 8175 0 0.00 0.00 9 1 1 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 6490 0 0.00 0.00 9 1 
927975 8:44:26 0 1 0 0.87 1.00 1.00 1.00 0.87 1.00 1.00 1.00 0 8268 1.00 0.00 1 1 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8268 1.00 0.00 1 1 0 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 0 8268 1.00 0.00 1 1 
1007857 7:55:48 1 1 0 0.87 1.00 1.00 1.00 0.87 1.00 1.00 1.00 6933 0 0.00 0.00 9 1 1 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 6753 0 0.00 0.00 9 1 1 1 1 0.65 1.00 1.00 1.00 0.65 1.00 1.00 1.00 5432 0 0.00 0.00 9 1 
1007857 7:55:48 0 1 0 0.86 1.00 1.00 1.00 0.87 1.00 1.00 1.00 0 7587 1.00 0.00 1 1 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 7587 1.00 0.00 1 1 0 1 1 0.55 1.00 1.00 1.00 0.65 1.00 1.00 1.00 0 7587 1.00 0.00 1 1 
1094611 8:1:42 1 1 1 0.86 1.00 1.00 1.00 0.86 1.00 1.00 1.00 6911 0 0.00 0.00 9 1 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 7272 0 0.00 0.00 9 1 1 1 1 0.55 1.00 1.00 1.00 0.55 1.00 1.00 1.00 5109 0 0.00 0.00 9 1 
1094611 8:1:42 0 1 1 0.85 1.00 1.00 1.00 0.86 1.00 1.00 1.00 0 7458 1.00 0.00 1 1 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 7458 1.00 0.00 1 1 0 1 1 0.46 1.00 1.00 1.00 0.55 1.00 1.00 1.00 0 7458 1.00 0.00 1 1 
1181609 8:11:40 1 1 1 0.85 1.00 1.00 1.00 0.85 1.00 1.00 1.00 7749 0 0.00 0.00 9 1 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 7870 0 0.00 0.00 9 1 1 1 1 0.46 1.00 1.00 1.00 0.46 1.00 1.00 1.00 5587 0 0.00 0.00 9 1 
1181609 8:11:40 0 1 1 0.85 1.00 1.00 1.00 0.85 1.00 1.00 1.00 0 7617 1.00 0.00 1 1 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 7617 1.00 0.00 1 1 0 1 1 0.46 1.00 1.00 1.00 0.46 1.00 1.00 1.00 0 7617 1.00 0.00 1 1 
