71969 8:22:4 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 8470 0 0.00 0.00 9 1 1 1 1 1.00 1.00 1.00 1.00 0.40 1.00 1.00 1.00 3845 0 0.00 0.00 9 1 1 1 1 1.00 1.00 1.00 1.00 0.47 1.00 1.00 1.00 8050 0 0.00 0.00 9 1 
71969 8:22:4 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8831 1.00 0.00 0 1 0 1 1 0.40 1.00 1.00 1.00 0.40 1.00 1.00 1.00 0 8831 1.00 0.00 0 1 0 1 1 0.47 1.00 1.00 1.00 0.47 1.00 1.00 1.00 0 8831 1.00 0.00 0 1 
157171 8:2:6 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 7269 0 0.00 0.00 9 1 1 1 1 0.40 1.00 1.00 1.00 0.40 1.00 1.00 1.00 3604 0 0.00 0.00 9 1 0 1 1 0.47 1.00 1.00 1.00 0.47 1.00 1.00 1.00 0 0 0.00 0.00 9 1 
157171 8:2:6 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 1 0.29 1.00 1.00 1.00 0.40 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 1 0.47 1.00 1.00 1.00 0.47 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 
241544 7:28:19 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 0 0.00 0.00 9 1 1 1 0 0.29 1.00 1.00 1.00 0.63 1.00 1.00 1.00 5287 0 0.00 0.00 9 1 0 1 1 0.47 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 0 0.00 0.00 9 1 
241544 7:28:19 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 0 0.29 1.00 1.00 1.00 0.29 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 1 0.47 1.00 1.00 1.00 0.47 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 
328320 7:34:35 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 0 0.00 0.00 9 1 1 1 1 0.29 1.00 1.00 1.00 0.63 1.00 1.00 1.00 4987 0 0.00 0.00 9 1 1 1 0 0.47 1.00 1.00 1.00 1.00 1.00 1.00 1.00 5648 0 0.00 0.00 9 1 
328320 7:34:35 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 1 0.24 1.00 1.00 1.00 0.29 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 0 1 0 0.41 1.00 1.00 1.00 0.47 1.00 1.00 1.00 0 8132 1.00 0.00 0 1 
420053 9:3:28 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 10996 0 0.00 0.00 9 1 1 1 1 0.24 1.00 1.00 1.00 0.24 1.00 1.00 1.00 7030 0 0.00 0.00 9 1 1 1 1 0.41 1.00 1.00 1.00 0.41 1.00 1.00 1.00 6730 0 0.00 0.00 9 1 
420053 9:3:28 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 9078 1.00 0.00 0 1 0 1 1 0.24 1.00 1.00 1.00 0.24 1.00 1.00 1.00 0 9078 1.00 0.00 0 1 0 1 1 0.41 1.00 1.00 1.00 0.41 1.00 1.00 1.00 0 9078 1.00 0.00 0 1 
504824 8:36:19 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 9374 0 0.00 0.00 9 1 1 1 1 0.24 1.00 1.00 1.00 0.24 1.00 1.00 1.00 3726 0 0.00 0.00 9 1 1 1 1 0.41 1.00 1.00 1.00 0.41 1.00 1.00 1.00 6370 0 0.00 0.00 9 1 
504824 8:36:19 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 9194 1.00 0.00 0 1 0 1 1 0.19 1.00 1.00 1.00 0.24 1.00 1.00 1.00 0 9194 1.00 0.00 0 1 0 1 1 0.35 1.00 1.00 1.00 0.41 1.00 1.00 1.00 0 9194 1.00 0.00 0 1 
588523 7:51:18 1 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 6490 0 0.00 0.00 9 1 1 1 0 0.19 1.00 1.00 1.00 0.19 1.00 1.00 1.00 6670 0 0.00 0.00 9 1 1 1 1 0.35 1.00 1.00 1.00 0.35 1.00 1.00 1.00 5168 0 0.00 0.00 9 1 
588523 7:51:18 0 1 1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 7880 1.00 0.00 0 1 0 1 0 0.19 1.00 1.00 1.00 0.19 1.00 1.00 1.00 0 7880 1.00 0.00 0 1 0 1 1 0.31 1.00 1.00 1.00 0.35 1.00 1.00 1.00 0 7880 1.00 0.00 0 1 
678768 8:55:23 1 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 10512 0 0.00 0.00 9 1 0 1 1 0.19 1.00 1.00 1.00 0.19 1.00 1.00 1.00 0 0 0.00 0.00 9 1 1 1 1 0.31 1.00 1.00 1.00 0.31 1.00 1.00 1.00 4926 0 0.00 0.00 9 1 
678768 8:55:23 0 1 0 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0 8757 1.00 0.00 0 1 0 1 1 0.19 1.00 1.00 1.00 0.19 1.00 1.00 1.00 0 8757 1.00 0.00 0 1 0 1 1 0.26 1.00 1.00 1.00 0.31 1.00 1.00 1.00 0 8757 1.00 0.00 0 1 
